WO,Date,MatCode,Value,Contractor,GL.Account
80011115,01/12/18,11206908,16.2,,2699599215
80011128,01/12/18,11206908,27,,2699599215
70004503,01/14/15,11206913,2,,2699599215
80011099,01/12/18,91101927,0,,
80011099,01/12/18,11200021,120,,2699599215
80011107,01/12/18,11206905,21.2,,2699599215
80006627,01/14/15,11204645,719.7,,2699599215
80011072,01/12/18,91100759,0,,
80011072,01/12/18,91101659,0,,
80011141,01/12/18,11206903,9,,2699599215
80011141,01/12/18,11206939,31.5,,2699599215
80006625,01/15/15,11206947,4.1,,2699599215
70004503,01/12/15,11206942,19.5,,2699599215
70005178,01/15/18,11207155,253.5,,2699599215
80011101,01/15/18,11207251,70,,2699599215
70004978,01/13/17,11207385,7.2,,2699599215
70004978,01/13/17,11206947,4.1,,2699599215
80007604,01/13/17,11205167,29.3,,2699559215
80007604,01/13/17,11205168,108.8,,2699559215
80007604,01/13/17,11205165,65.7,,2699559215
80007604,01/13/17,11205167,29.3,,2699559215
70004997,01/13/17,11206903,4.5,,2699599215
80006624,01/14/15,11206904,6.6,,2699599215
80006624,01/14/15,91100230,0,,
80011095,01/15/18,11204355,314.5,,2699559215
80011095,01/15/18,11205591,126.6,,2699559215
80011128,01/15/18,11207001,134,,2699599215
70004680,01/08/16,91100126,0,,
70004993,01/13/17,11206640,110.6,,2699599215
70004979,01/13/17,11206903,9,,2699599215
70004975,01/13/17,91101931,0,,
70004975,01/13/17,11207385,4.3,,2699599215
70005063,01/13/17,11206908,5.4,,2699599215
70005026,01/13/17,11202777,2484,,2599579215
80007619,01/13/17,11204046,3318.8,,2699559215
80007619,01/13/17,11204355,157.3,,2699559215
70004108,01/02/14,91100225,0,,
70004108,01/02/14,11206908,21.3,,2699599215
70004992,01/13/17,11206903,22.5,,2699599215
70004992,01/13/17,11207385,4.3,,2699599215
70004161,01/02/14,11202659,279.4,,2599579215
70004135,01/02/14,11203207,1341.9,,2599579215
70004980,01/13/17,91100625,0,,
70004153,01/02/14,11206942,32.5,,2699599215
70004153,01/02/14,11206913,5.9,,2699599215
70004153,01/02/14,11207546,35,,2699599215
70004978,01/13/17,11207251,70,,2699599215
70004978,01/13/17,11206908,16.2,,2699599215
70004114,01/02/14,11206937,4.5,,2699599215
80006627,01/15/15,11200020,90.6,,2699599215
80006625,01/15/15,11206904,3.3,,2699599215
80006627,01/15/15,11207385,4.3,,2699599215
70004469,01/15/15,11207385,8.6,,2699599215
70004469,01/15/15,11206947,4.1,,2699599215
70004501,01/15/15,11207385,2.9,,2699599215
70004501,01/15/15,11206937,4.5,,2699599215
70004501,01/15/15,91101931,0,,
70004792,01/11/16,11201882,91.7,,2699599215
70005219,01/19/18,11205246,84,,2699599215
80011149,01/19/18,91100896,0,,
80011149,01/19/18,11207385,2.3,,2699599215
70005180,01/19/18,91101365,0,,
70004490,01/15/15,11206557,1299,,2699599215
70004501,01/15/15,11207385,2.9,,2699599215
70004501,01/15/15,11206904,3.3,,2699599215
80011185,01/21/18,11200491,2838.4,,2699599215
80011151,01/15/18,11200740,780,,2699599215
80011145,01/15/18,11207385,2.3,,2699599215
70004484,01/15/15,11206904,13.1,,2699599215
70005258,01/16/18,11202659,332.9,,2599579215
80011112,01/17/18,91102265,0,,
80011166,01/17/18,11207385,4.7,,2699599215
80011166,01/17/18,11206947,2.1,,2699599215
80011166,01/17/18,11206937,9,,2699599215
70004119,01/03/14,11206937,4.5,,2699599215
70004119,01/03/14,11206933,4.3,,2699599215
70004119,01/03/14,11202988,300,,2699599215
70004119,01/03/14,91100533,0,,
70004119,01/03/14,91100534,0,,
70004119,01/03/14,11206904,6.6,,2699599215
70004119,01/03/14,91100583,0,,
